50,53,3,153,305,132,4
38,63,59,190,256,30,9
32,96,38,119,291,69,23
39,90,44,159,382,183,35
31,100,62,160,364,86,14
40,89,17,125,453,140,44
32,84,23,130,310,161,34
36,77,64,115,396,122,16
44,75,4,185,310,71,38
25,53,18,152,319,156,21
44,84,10,160,210,44,11
28,58,62,113,378,74,36
39,64,11,190,421,9,3
26,94,27,117,409,144,46
34,51,7,121,452,179,14
21,50,68,94,277,199,31
49,63,55,144,278,136,36
0,91,41,104,251,71,24
49,77,73,129,433,156,24
4,97,5,137,246,138,46
13,90,65,96,499,131,23
22,96,33,175,281,155,31
47,80,36,138,264,111,1
7,62,62,94,245,39,37
11,100,31,111,288,163,49
2,89,37,101,353,106,23
20,65,52,177,217,196,0
41,63,55,79,210,4,15
7,96,65,180,247,165,36
24,84,46,172,403,68,13
18,78,51,157,306,146,18
14,76,67,120,471,163,13
17,91,46,75,298,31,47
43,58,22,168,233,116,39
5,73,64,153,332,164,9
40,93,25,76,312,67,25
38,66,6,200,403,148,10
0,50,14,185,377,51,40
47,99,61,100,414,88,39
47,71,70,200,449,22,15
48,88,12,114,494,113,40
6,60,27,98,272,72,10
20,74,32,105,389,4,47
25,54,1,173,220,135,49
41,79,22,94,246,150,15
21,75,47,164,216,3,40
3,76,43,113,201,153,37
49,75,44,138,320,193,36
9,82,48,116,367,31,28
42,100,57,105,277,166,46
40,82,63,141,389,93,14
6,69,9,87,442,13,27
24,77,45,160,381,54,2
0,76,37,200,384,128,5
21,56,52,152,457,119,36
10,60,58,156,487,75,44
13,87,66,134,208,152,30
47,89,73,190,445,95,41
34,92,35,193,416,108,4
21,74,58,80,276,163,42
35,51,16,95,356,44,39
38,80,67,79,261,73,12
27,83,14,196,263,52,14
18,82,41,138,438,26,6
31,68,23,105,383,127,4
6,84,42,169,284,135,10
11,98,3,144,314,99,32
28,55,56,92,460,169,14
44,72,62,162,286,132,50
48,77,28,164,324,125,26
23,70,21,143,367,156,31
0,83,17,182,255,45,39
49,75,64,188,248,109,7
27,59,61,136,263,171,47
15,96,41,139,252,44,39
39,66,37,141,481,175,21
44,63,4,191,373,26,0
22,81,48,155,297,132,48
3,92,61,168,238,101,17
34,57,11,129,362,105,47
43,97,62,145,492,132,35
12,80,20,135,471,98,8
0,94,64,125,445,154,35
37,90,22,183,370,117,33
27,86,35,130,385,59,0
45,85,73,129,305,55,45
3,100,11,175,346,191,38
44,82,21,144,499,165,38
33,60,66,83,500,63,6
