
-14568.0,50,53,3,153,305,132,4
32067.0,38,63,59,190,256,30,9
62689.0,32,96,38,119,291,69,23
56668.0,39,90,44,159,382,183,35
28699.0,31,100,62,160,364,86,14
-11675.0,40,89,17,125,453,140,44
-23120.0,32,84,23,130,310,161,34
37957.0,36,77,64,115,396,122,16
-22928.0,44,75,4,185,310,71,38
-14648.0,25,53,18,152,319,156,21
-22072.0,44,84,10,160,210,44,11
33605.0,28,58,62,113,378,74,36
-13871.0,39,64,11,190,421,9,3
-2489.0,26,94,27,117,409,144,46
-8822.0,34,51,7,121,452,179,14
30332.0,21,50,68,94,277,199,31
54239.0,49,63,55,144,278,136,36
40931.0,0,91,41,104,251,71,24
32061.0,49,77,73,129,433,156,24
-16121.0,4,97,5,137,246,138,46
33344.0,13,90,65,96,499,131,23
57897.0,22,96,33,175,281,155,31
42513.0,47,80,36,138,264,111,1
41670.0,7,62,62,94,245,39,37
45079.0,11,100,31,111,288,163,49
53743.0,2,89,37,101,353,106,23
50115.0,20,65,52,177,217,196,0
39414.0,41,63,55,79,210,4,15
23292.0,7,96,65,180,247,165,36
38347.0,24,84,46,172,403,68,13
41202.0,18,78,51,157,306,146,18
44525.0,14,76,67,120,471,163,13
39604.0,17,91,46,75,298,31,47
-19793.0,43,58,22,168,233,116,39
29195.0,5,73,64,153,332,164,9
-17199.0,40,93,25,76,312,67,25
-10410.0,38,66,6,200,403,148,10
-20055.0,0,50,14,185,377,51,40
27152.0,47,99,61,100,414,88,39
25204.0,47,71,70,200,449,22,15
-13162.0,48,88,12,114,494,113,40
-7858.0,6,60,27,98,272,72,10
39750.0,20,74,32,105,389,4,47
-16778.0,25,54,1,173,220,135,49
-19011.0,41,79,22,94,246,150,15
37951.0,21,75,47,164,216,3,40
46651.0,3,76,43,113,201,153,37
41983.0,49,75,44,138,320,193,36
51665.0,9,82,48,116,367,31,28
42861.0,42,100,57,105,277,166,46
39376.0,40,82,63,141,389,93,14
-16864.0,6,69,9,87,442,13,27
63640.0,24,77,45,160,381,54,2
35547.0,0,76,37,200,384,128,5
41124.0,21,56,52,152,457,119,36
49822.0,10,60,58,156,487,75,44
44530.0,13,87,66,134,208,152,30
